CustomerID,FirstName,LastName,Email,DateOfBirth,Phone,Postcode,FailureType,FailureDescription
208,Chris,Davis,chris.davis@example.com,17/07/1962,4.47049E+11,14877,Completeness,Missing mandatory field(s)
906,Michael,Garcia,michael.garcia@example.com,05/11/1965,4.47453E+11,75483,Uniqueness,Duplicate CustomerID
907,Michael,Rodriguez,michael.rodriguez@test.org,28/08/1993,,,Completeness,Missing mandatory field(s)
40,David,Miller,david.miller@mail.com,10/07/2000,4.47586E+11,38039,Uniqueness,Duplicate CustomerID
584,David,Miller,user@@domain.com,27/12/1956,,,Validity,Invalid format or value
216,Anna,Smith,anna.smith@example.com,07/12/2025,4.47262E+11,26505,Consistency,Date of birth is after current date
355,Sarah,Wilson,,12/01/1967,,30885,Completeness,Missing mandatory field(s)
600,Laura,Garcia,,21/06/1986,4.4713E+11,,Completeness,Missing mandatory field(s)
658,David,Wilson,invalid@,01/09/1999,12345,ABCDE,Validity,Invalid format or value
253,Laura,Davis,laura.davis@mail.com,04/08/1961,4.47408E+11,79806,Uniqueness,Duplicate CustomerID
386,Laura,Brown,invalid@,27/04/1998,abcdefghij,ABCDE,Validity,Invalid format or value
603,John,Brown,invalid@,23/04/1963,,,Validity,Invalid format or value
106,David,Williams,david.williams@demo.net,14/06/1961,4.47668E+11,80008,Uniqueness,Duplicate CustomerID
79,Emily,Jones,emily.jones@example.com,30/09/2026,4.47002E+11,78146,Consistency,Date of birth is after current date
828,James,Johnson,james.johnson@demo.net,23/08/2026,4.47539E+11,11388,Consistency,Date of birth is after current date
488,Chris,Smith,chris.smith@demo.net,22/10/1979,4.47904E+11,,Completeness,Missing mandatory field(s)
430,Sarah,Brown,,08/11/1962,4.47709E+11,78321,Completeness,Missing mandatory field(s)
496,Michael,Jones,michael.jones@mail.com,04/01/2026,4.47707E+11,30203,Consistency,Date of birth is after current date
299,Jane,Garcia,jane.garcia@mail.com,12/11/1976,4.4797E+11,13794,Uniqueness,Duplicate CustomerID
590,Emily,Rodriguez,emily.rodriguez@mail.com,02/02/2026,4.47007E+11,63744,Consistency,Date of birth is after current date
948,Emily,Smith,emily.smith@mail.com,12/04/2026,4.4779E+11,22315,Consistency,Date of birth is after current date
780,Emily,Miller,emily.miller@test.org,26/07/1961,4.4711E+11,60272,Uniqueness,Duplicate CustomerID
461,Jane,Miller,jane.miller@demo.net,07/03/1991,4.47607E+11,41877,Uniqueness,Duplicate CustomerID
446,James,Williams,james.williams@mail.com,05/12/1993,4.4731E+11,28388,Uniqueness,Duplicate CustomerID
766,David,Wilson,noatsign.com,19/07/1974,4.4E+11,,Validity,Invalid format or value
693,Jane,Jones,jane.jones@demo.net,14/09/1957,4.47125E+11,28569,Uniqueness,Duplicate CustomerID
669,Chris,Rodriguez,chris.rodriguez@test.org,13/04/2026,4.47284E+11,60206,Consistency,Date of birth is after current date
535,James,Williams,invalid@,03/04/1976,4.4E+11,9999999999,Validity,Invalid format or value
783,Chris,Williams,chris.williams@mail.com,24/05/2002,4.47908E+11,,Completeness,Missing mandatory field(s)
142,John,Williams,invalid@,30/06/2000,4.4E+11,ABCDE,Validity,Invalid format or value
693,Laura,Johnson,laura.johnson@test.org,18/12/2026,4.47688E+11,52616,Consistency,Date of birth is after current date
248,David,Garcia,david.garcia@demo.net,04/01/2027,4.47293E+11,38255,Consistency,Date of birth is after current date
649,John,Davis,invalid@,12/10/1963,4.4E+11,,Validity,Invalid format or value
796,Emily,Miller,,11/08/1958,,9999999999,Validity,Invalid format or value
809,Michael,Johnson,michael.johnson@example.com,14/06/1950,4.47615E+11,88204,Uniqueness,Duplicate CustomerID
434,Chris,Davis,chris.davis@mail.com,05/04/1998,4.47508E+11,41584,Completeness,Missing mandatory field(s)
374,James,Wilson,james.wilson@demo.net,05/04/1963,4.47882E+11,99224,Uniqueness,Duplicate CustomerID
287,Anna,Garcia,anna.garcia@demo.net,15/02/2027,4.47836E+11,60052,Consistency,Date of birth is after current date
695,Emily,Smith,invalid@,03/09/1978,12345,9999999999,Validity,Invalid format or value
181,Sarah,Wilson,sarah.wilson@demo.net,16/03/1957,4.47915E+11,53065,Uniqueness,Duplicate CustomerID
651,Anna,Garcia,anna.garcia@mail.com,14/09/1958,,,Completeness,Missing mandatory field(s)
131,Chris,Wilson,chris.wilson@test.org,16/06/1992,4.47594E+11,79588,Uniqueness,Duplicate CustomerID
435,Emily,Jones,,17/07/1991,abcdefghij,,Validity,Invalid format or value
838,Anna,Smith,anna.smith@mail.com,03/10/2026,4.47178E+11,40145,Consistency,Date of birth is after current date
297,Laura,Garcia,,09/02/1957,12345,,Validity,Invalid format or value
741,Sarah,Wilson,sarah.wilson@example.com,08/05/2026,4.47519E+11,73979,Consistency,Date of birth is after current date
561,James,Brown,james.brown@mail.com,15/06/2003,4.47938E+11,20730,Uniqueness,Duplicate CustomerID
784,John,Miller,john.miller@demo.net,21/11/1963,,,Completeness,Missing mandatory field(s)
871,David,Wilson,invalid@,08/08/2003,12345,9999999999,Validity,Invalid format or value
522,Emily,Jones,emily.jones@test.org,06/04/1978,4.47994E+11,61505,Uniqueness,Duplicate CustomerID
789,Emily,Miller,emily.miller@test.org,15/05/1982,4.47315E+11,38632,Completeness,Missing mandatory field(s)
484,Chris,Jones,noatsign.com,29/03/1994,12345,,Validity,Invalid format or value
50,Anna,Garcia,anna.garcia@mail.com,07/02/1955,4.47545E+11,,Completeness,Missing mandatory field(s)
671,Jane,Miller,jane.miller@example.com,12/10/2002,4.47595E+11,40161,Uniqueness,Duplicate CustomerID
500,Sarah,Williams,sarah.williams@example.com,16/11/2026,4.47693E+11,98797,Consistency,Date of birth is after current date
140,Michael,Smith,michael.smith@test.org,18/09/2026,4.47123E+11,18564,Consistency,Date of birth is after current date
995,James,Smith,james.smith@test.org,21/01/2027,4.47607E+11,29605,Consistency,Date of birth is after current date
916,David,Wilson,invalid@,26/05/1956,,ABCDE,Validity,Invalid format or value
657,Michael,Johnson,michael.johnson@example.com,19/09/2026,4.47868E+11,80968,Consistency,Date of birth is after current date
277,Sarah,Johnson,sarah.johnson@mail.com,20/05/1981,4.47333E+11,95990,Completeness,Missing mandatory field(s)
661,James,Wilson,james.wilson@mail.com,16/09/2026,4.47813E+11,68856,Consistency,Date of birth is after current date
837,James,Davis,james.davis@test.org,11/02/2026,4.47523E+11,73191,Consistency,Date of birth is after current date
891,Emily,Miller,emily.miller@test.org,26/02/1964,4.4747E+11,81200,Uniqueness,Duplicate CustomerID
601,Sarah,Brown,invalid@,29/08/1977,abcdefghij,9999999999,Validity,Invalid format or value
433,Sarah,Davis,sarah.davis@test.org,09/05/1987,,29558,Completeness,Missing mandatory field(s)
918,Chris,Wilson,chris.wilson@demo.net,30/08/2026,4.47953E+11,68313,Consistency,Date of birth is after current date
76,Jane,Jones,jane.jones@mail.com,01/02/2002,4.47285E+11,,Completeness,Missing mandatory field(s)
40,David,Miller,david.miller@demo.net,05/04/2026,4.47501E+11,17100,Consistency,Date of birth is after current date
319,Anna,Davis,anna.davis@mail.com,12/07/2026,4.47377E+11,68606,Consistency,Date of birth is after current date
255,David,Smith,david.smith@demo.net,26/12/1956,,,Completeness,Missing mandatory field(s)
276,David,Jones,david.jones@test.org,30/01/2026,4.47938E+11,29709,Consistency,Date of birth is after current date
647,Sarah,Brown,user@@domain.com,20/09/1986,4.4E+11,,Validity,Invalid format or value
398,Sarah,Williams,user@@domain.com,30/01/1973,,9999999999,Validity,Invalid format or value
776,Jane,Wilson,user@@domain.com,09/05/2000,,,Validity,Invalid format or value
860,Emily,Miller,,02/07/1982,,,Completeness,Missing mandatory field(s)
125,Emily,Garcia,emily.garcia@demo.net,07/03/1980,4.47031E+11,74789,Completeness,Missing mandatory field(s)
635,John,Williams,john.williams@mail.com,27/06/1979,4.47384E+11,67372,Uniqueness,Duplicate CustomerID
540,Jane,Davis,noatsign.com,10/02/1983,4.4E+11,ABCDE,Validity,Invalid format or value
723,David,Johnson,noatsign.com,24/07/1992,4.4E+11,,Validity,Invalid format or value
679,Anna,Smith,anna.smith@mail.com,26/01/2026,4.4794E+11,36309,Consistency,Date of birth is after current date
17,Sarah,Brown,sarah.brown@demo.net,30/06/1985,4.4795E+11,94259,Uniqueness,Duplicate CustomerID
904,Michael,Wilson,michael.wilson@mail.com,17/12/1958,4.47774E+11,45382,Completeness,Missing mandatory field(s)
89,Chris,Brown,chris.brown@mail.com,12/08/2026,4.47026E+11,16057,Consistency,Date of birth is after current date
362,James,Brown,,20/08/1999,4.4731E+11,,Completeness,Missing mandatory field(s)
481,Sarah,Rodriguez,sarah.rodriguez@example.com,22/07/2003,,,Completeness,Missing mandatory field(s)
294,Sarah,Brown,user@@domain.com,28/04/1957,abcdefghij,ABCDE,Validity,Invalid format or value
101,James,Garcia,invalid@,03/08/1955,4.4E+11,9999999999,Validity,Invalid format or value
566,John,Wilson,john.wilson@example.com,28/03/1951,4.47282E+11,38277,Completeness,Missing mandatory field(s)
224,Laura,Rodriguez,laura.rodriguez@mail.com,08/03/2005,4.47047E+11,96363,Uniqueness,Duplicate CustomerID
944,Chris,Garcia,chris.garcia@test.org,08/08/1991,4.47748E+11,,Completeness,Missing mandatory field(s)
174,Laura,Miller,laura.miller@test.org,08/07/1999,4.47819E+11,,Completeness,Missing mandatory field(s)
535,James,Williams,james.williams@test.org,21/09/2026,4.47311E+11,85069,Consistency,Date of birth is after current date
249,James,Johnson,user@@domain.com,27/07/1988,abcdefghij,ABCDE,Validity,Invalid format or value
94,Laura,Williams,laura.williams@demo.net,26/08/1997,,88047,Completeness,Missing mandatory field(s)
80,James,Smith,james.smith@test.org,09/04/1972,4.47308E+11,22190,Uniqueness,Duplicate CustomerID
